context_switches,cpu_usage,execution_time_us,hw_branch_instructions,hw_branch_misses,hw_cache_misses,hw_cache_references,hw_cpu_cycles,hw_instructions,hw_telemetry_available,max_rss_kb,sw_context_switches,sw_cpu_migrations,sw_page_faults,synthetic_branch_proxy,synthetic_cache_proxy,is_anomaly
3.0,118.0,431.167,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17235968.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,67.0,64.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17235968.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,63.0,61.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17235968.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.834,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17235968.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,12.0,12.417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17235968.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17235968.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17235968.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,16.0,15.583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.291,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.291,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.042,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,14.541,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17268736.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,16.0,14.584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17285120.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,20.0,18.958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
