algo,seed,w_time,w_mse,w_var,margin,alpha,precision,recall,fpr
ML-KEM-512,42,0.33,0.33,0.33,1.0,0.01,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.0,0.05,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.0,0.1,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.0,0.2,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.25,0.01,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.25,0.05,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.25,0.1,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.25,0.2,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.5,0.01,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.5,0.05,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.5,0.1,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,1.5,0.2,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,2.0,0.01,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,2.0,0.05,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,2.0,0.1,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,2.0,0.2,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,3.0,0.01,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,3.0,0.05,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,3.0,0.1,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,3.0,0.2,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,5.0,0.01,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,5.0,0.05,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,5.0,0.1,1.0,0.21714285714285714,0.0
ML-KEM-512,42,0.33,0.33,0.33,5.0,0.2,1.0,0.21714285714285714,0.0
