algo,seed,y_true,pipeline_a_score,pipeline_a_pred,pipeline_b_score,pipeline_b_pred
ML-KEM-512,42,0,5.628799e+14,1,1.0000000166893006,1
ML-KEM-512,42,0,5.628799e+14,1,0.8368132035024873,1
ML-KEM-512,42,0,5.628799e+14,1,0.7201320988397808,1
ML-KEM-512,42,0,5.6290637e+14,1,0.8302795202719511,1
ML-KEM-512,42,0,5.6293247e+14,1,0.6136245796182391,1
ML-KEM-512,42,0,5.6295895e+14,1,0.6758191100581662,1
ML-KEM-512,42,0,5.6298304e+14,1,0.6736958449816965,1
ML-KEM-512,42,0,5.630099e+14,1,0.7480965729925135,1
ML-KEM-512,42,0,5.630358e+14,1,0.6458578649622005,1
ML-KEM-512,42,0,5.6306196e+14,1,0.5357360335873117,1
ML-KEM-512,42,0,5.630881e+14,1,0.697622188968344,1
ML-KEM-512,42,0,5.6311377e+14,1,0.6444952301009671,1
ML-KEM-512,42,0,5.6313907e+14,1,0.7320236945152283,1
ML-KEM-512,42,0,5.631649e+14,1,0.6686558600637416,1
ML-KEM-512,42,0,5.6319336e+14,1,0.5822265855296628,1
ML-KEM-512,42,0,5.632195e+14,1,0.7589504252062788,1
ML-KEM-512,42,0,5.63245e+14,1,0.7183504084931364,1
ML-KEM-512,42,0,5.632706e+14,1,0.5852790780872827,1
ML-KEM-512,42,0,5.6329664e+14,1,0.8380844074782696,1
ML-KEM-512,42,0,5.632967e+14,1,0.6686806361065855,1
ML-KEM-512,42,0,5.632967e+14,1,0.5824999114609026,1
ML-KEM-512,42,0,5.632967e+14,1,0.7237477725482249,1
ML-KEM-512,42,0,5.632967e+14,1,0.6040548104506535,1
ML-KEM-512,42,0,5.632967e+14,1,0.6421253242105966,1
ML-KEM-512,42,0,5.632967e+14,1,0.6030958462220234,1
ML-KEM-512,42,0,5.632967e+14,1,0.6855816952212826,1
ML-KEM-512,42,0,5.632967e+14,1,0.6725924586987757,1
ML-KEM-512,42,0,5.632967e+14,1,0.6549510069698816,1
ML-KEM-512,42,0,5.6331e+14,1,0.7212524652907089,1
ML-KEM-512,42,0,5.63323e+14,1,0.5823182983745061,1
ML-KEM-512,42,0,5.633363e+14,1,0.662374373458244,1
ML-KEM-512,42,0,5.633483e+14,1,0.6659196559053463,1
ML-KEM-512,42,0,5.6336167e+14,1,0.6015638326616339,1
ML-KEM-512,42,0,5.6338784e+14,1,0.7615896475773067,1
ML-KEM-512,42,0,5.63414e+14,1,0.5378488878594389,1
ML-KEM-512,42,0,5.6344045e+14,1,0.7455276263218136,1
ML-KEM-512,42,0,5.634653e+14,1,0.8084009081551269,1
ML-KEM-512,42,0,5.634913e+14,1,0.5933953783734814,1
ML-KEM-512,42,0,5.635173e+14,1,0.8306517116054074,1
ML-KEM-512,42,0,5.6354454e+14,1,0.6140416947465153,1
ML-KEM-512,42,0,5.635707e+14,1,0.6623932862379787,1
ML-KEM-512,42,0,5.635963e+14,1,0.7028623199200892,1
ML-KEM-512,42,0,5.636217e+14,1,0.8134543733413403,1
ML-KEM-512,42,0,5.6364775e+14,1,0.6391078991155834,1
ML-KEM-512,42,0,5.63662e+14,1,0.5571178788044688,1
ML-KEM-512,42,0,5.6367506e+14,1,0.6793899214005732,1
ML-KEM-512,42,0,5.636878e+14,1,0.55764848680284,1
ML-KEM-512,42,0,5.6370057e+14,1,0.6667926156618831,1
ML-KEM-512,42,0,5.6371365e+14,1,0.5657432847134359,1
ML-KEM-512,42,0,5.637137e+14,1,0.6008413899403614,1
ML-KEM-512,42,0,5.637137e+14,1,0.6451604459148449,1
ML-KEM-512,42,0,5.637137e+14,1,0.6375443677390801,1
ML-KEM-512,42,0,5.637137e+14,1,0.6618331348634028,1
ML-KEM-512,42,0,5.637137e+14,1,0.6773627362473981,1
ML-KEM-512,42,0,5.637137e+14,1,0.6010336298209232,1
ML-KEM-512,42,0,5.637137e+14,1,0.628392500255134,1
ML-KEM-512,42,0,5.637137e+14,1,0.6075978222948116,1
ML-KEM-512,42,0,5.637137e+14,1,0.6021594133350352,1
ML-KEM-512,42,0,5.637137e+14,1,0.6816935962176585,1
ML-KEM-512,42,0,5.637137e+14,1,0.7265500274594799,1
ML-KEM-512,42,0,5.637137e+14,1,0.6066120005472676,1
ML-KEM-512,42,0,5.637137e+14,1,0.6129331852282273,1
ML-KEM-512,42,0,5.637137e+14,1,0.6112533528071445,1
ML-KEM-512,42,0,5.637137e+14,1,0.598620304809193,1
ML-KEM-512,42,0,5.637137e+14,1,0.6286723706584972,1
ML-KEM-512,42,0,5.637137e+14,1,0.8262888264525068,1
ML-KEM-512,42,0,5.637137e+14,1,0.6804525484194075,1
ML-KEM-512,42,0,5.637137e+14,1,0.5183953767367837,1
ML-KEM-512,42,1,5.6371365e+14,1,0.6485110614162487,1
ML-KEM-512,42,1,5.637137e+14,1,0.5673114824753803,1
ML-KEM-512,42,1,5.6371365e+14,1,0.564321150455501,1
ML-KEM-512,42,1,5.6371365e+14,1,0.6473554018598598,1
ML-KEM-512,42,1,5.637137e+14,1,0.8294845930560605,1
ML-KEM-512,42,1,5.637136e+14,1,0.5704344827395481,1
ML-KEM-512,42,1,5.637137e+14,1,0.6917658392053646,1
ML-KEM-512,42,1,5.6371365e+14,1,0.583318018218947,1
ML-KEM-512,42,1,5.637269e+14,1,0.5812565511203074,1
ML-KEM-512,42,1,5.637398e+14,1,0.5665740985137028,1
ML-KEM-512,42,1,5.63753e+14,1,0.6594233786797785,1
ML-KEM-512,42,1,5.637788e+14,1,0.5866274785372714,1
ML-KEM-512,42,1,5.638048e+14,1,0.6557230496504542,1
ML-KEM-512,42,1,5.638443e+14,1,0.783221244225764,1
ML-KEM-512,42,1,5.638827e+14,1,0.6345510742887036,1
ML-KEM-512,42,1,5.639222e+14,1,0.8402820694446564,1
ML-KEM-512,42,1,5.639605e+14,1,0.552633313394132,1
ML-KEM-512,42,1,5.639994e+14,1,0.583504694868044,1
ML-KEM-512,42,1,5.640384e+14,1,0.8132611232995988,1
ML-KEM-512,42,1,5.640786e+14,1,0.63117848980473,1
ML-KEM-512,42,1,5.641176e+14,1,0.48909875818632276,0
ML-KEM-512,42,1,5.641561e+14,1,0.49884276454210363,0
ML-KEM-512,42,1,5.6419576e+14,1,0.4635812023927599,0
ML-KEM-512,42,1,5.642347e+14,1,0.8071895720771627,1
ML-KEM-512,42,1,5.6426186e+14,1,0.5742492538603396,0
ML-KEM-512,42,1,5.6428763e+14,1,0.6700243527192522,1
ML-KEM-512,42,1,5.643135e+14,1,0.6010212216045523,0
ML-KEM-512,42,1,5.6432636e+14,1,0.6877306469557611,0
ML-KEM-512,42,1,5.643393e+14,1,0.7634052024689457,0
ML-KEM-512,42,1,5.643393e+14,1,0.5189586446156558,0
ML-KEM-512,42,1,5.6433944e+14,1,0.4384732774035338,0
ML-KEM-512,42,1,5.643394e+14,1,0.5284726451907443,0
ML-KEM-512,42,1,5.6433944e+14,1,0.462283891164695,0
ML-KEM-512,42,1,5.643394e+14,1,0.5288750410821076,0
ML-KEM-512,42,1,5.6433944e+14,1,0.5284755944044472,0
ML-KEM-512,42,0,5.6433944e+14,1,0.44189861583629897,0
ML-KEM-512,42,0,5.6433944e+14,1,0.39256214144746115,0
ML-KEM-512,42,0,5.6433944e+14,1,0.448314035116828,0
ML-KEM-512,42,0,5.6433944e+14,1,0.4020839216137141,0
ML-KEM-512,42,0,5.6433944e+14,1,0.45462944302203356,0
ML-KEM-512,42,0,5.6433944e+14,1,0.4600709000551909,0
ML-KEM-512,42,0,5.6433944e+14,1,0.5375127888780271,0
ML-KEM-512,42,0,5.6433944e+14,1,0.519195771006948,0
ML-KEM-512,42,0,5.6433944e+14,1,0.48021133410850814,0
ML-KEM-512,42,0,5.6433944e+14,1,0.4075176270564119,0
ML-KEM-512,42,0,5.6433944e+14,1,0.4563394823928396,0
ML-KEM-512,42,0,5.6433944e+14,1,0.43425703941595956,0
ML-KEM-512,42,0,5.6433944e+14,1,0.49822041706173203,0
ML-KEM-512,42,0,5.6433944e+14,1,0.5281579486939794,0
ML-KEM-512,42,0,5.6433944e+14,1,0.4550627873930194,0
ML-KEM-512,42,0,5.643526e+14,1,0.4734272019657352,0
ML-KEM-512,42,0,5.643656e+14,1,0.5217990928948535,1
ML-KEM-512,42,0,5.64379e+14,1,0.6032432818472995,0
ML-KEM-512,42,0,5.6439105e+14,1,0.46503180190061383,0
ML-KEM-512,42,0,5.644044e+14,1,0.6547688834283238,0
ML-KEM-512,42,0,5.644174e+14,1,0.542435157457278,1
ML-KEM-512,42,0,5.644305e+14,1,0.415157088792385,0
ML-KEM-512,42,0,5.644436e+14,1,0.4398851610634213,0
ML-KEM-512,42,0,5.644565e+14,1,0.4233452918880501,0
ML-KEM-512,42,0,5.6446916e+14,1,0.506508892089055,0
ML-KEM-512,42,0,5.6448205e+14,1,0.43050079575173655,0
ML-KEM-512,42,0,5.6449634e+14,1,0.5153281780360771,0
ML-KEM-512,42,0,5.6452265e+14,1,0.4235347111762081,0
ML-KEM-512,42,0,5.645485e+14,1,0.5059208331388297,0
ML-KEM-512,42,0,5.6457446e+14,1,0.511711344797001,0
ML-KEM-512,42,0,5.645996e+14,1,0.4653048084966307,0
ML-KEM-512,42,0,5.646131e+14,1,0.48630001040893,0
ML-KEM-512,42,0,5.646261e+14,1,0.4954403186166495,0
ML-KEM-512,42,0,5.6463915e+14,1,0.4448335598877408,0
ML-KEM-512,42,0,5.646523e+14,1,0.6287059088761806,0
ML-KEM-512,42,0,5.646651e+14,1,0.4901676492683058,0
ML-KEM-512,42,0,5.646778e+14,1,0.5184257047168379,0
ML-KEM-512,42,0,5.646907e+14,1,0.48635396694179206,0
ML-KEM-512,42,0,5.647049e+14,1,0.4943906141005909,0
ML-KEM-512,42,0,5.647181e+14,1,0.40912249644632964,0
ML-KEM-512,42,0,5.647308e+14,1,0.5358421090745511,1
ML-KEM-512,42,0,5.647436e+14,1,0.5356448199323156,0
ML-KEM-512,42,0,5.6475666e+14,1,0.524067239641345,0
ML-KEM-512,42,0,5.647567e+14,1,0.45026319640795043,0
ML-KEM-512,42,0,5.647567e+14,1,0.40438935865994124,0
ML-KEM-512,42,0,5.647567e+14,1,0.5358600225022772,0
ML-KEM-512,42,0,5.6477e+14,1,0.4629967767500463,0
ML-KEM-512,42,0,5.64783e+14,1,0.5016531068784684,0
ML-KEM-512,42,0,5.647963e+14,1,0.5838956458054936,0
ML-KEM-512,42,0,5.648084e+14,1,0.47744194585005095,0
ML-KEM-512,42,0,5.648218e+14,1,0.6034234519771078,0
ML-KEM-512,42,0,5.648348e+14,1,0.4637505668901983,0
ML-KEM-512,42,0,5.6484786e+14,1,0.4544871506971183,0
ML-KEM-512,42,0,5.64861e+14,1,0.4539220683388504,0
ML-KEM-512,42,0,5.648739e+14,1,0.46037943196635567,0
ML-KEM-512,42,0,5.648865e+14,1,0.47551243900072976,0
ML-KEM-512,42,0,5.649126e+14,1,0.49535182655459775,0
ML-KEM-512,42,0,5.6494e+14,1,0.39452941491020127,0
ML-KEM-512,42,0,5.649664e+14,1,0.4425491779924671,0
ML-KEM-512,42,0,5.649912e+14,1,0.5662970447600497,0
ML-KEM-512,42,0,5.6501744e+14,1,0.505075949588702,0
ML-KEM-512,42,0,5.650435e+14,1,0.4848771518172689,0
ML-KEM-512,42,0,5.650567e+14,1,0.45931901185524865,0
ML-KEM-512,42,0,5.650697e+14,1,0.5124732270718853,0
ML-KEM-512,42,0,5.650826e+14,1,0.41188502087009354,0
ML-KEM-512,42,0,5.650952e+14,1,0.5225486151788121,0
ML-KEM-512,42,0,5.6510824e+14,1,0.48882146493522904,0
ML-KEM-512,42,0,5.651225e+14,1,0.4850593483151861,0
ML-KEM-512,42,1,5.651354e+14,1,0.4166013609888648,0
ML-KEM-512,42,1,5.6514824e+14,1,0.5916055008651058,1
ML-KEM-512,42,1,5.651611e+14,1,0.5264657081482091,1
ML-KEM-512,42,1,5.65174e+14,1,0.513525008401621,1
ML-KEM-512,42,1,5.6517434e+14,1,0.5284865938041097,1
ML-KEM-512,42,1,5.651741e+14,1,0.4428877845288555,0
ML-KEM-512,42,1,5.651739e+14,1,0.5069235335560869,1
ML-KEM-512,42,1,5.6517434e+14,1,0.4950904005826129,0
ML-KEM-512,42,1,5.651741e+14,1,0.48230558169226967,0
ML-KEM-512,42,1,5.6517434e+14,1,0.5152426862776889,1
ML-KEM-512,42,1,5.651873e+14,1,0.46708796131335006,0
ML-KEM-512,42,1,5.6520045e+14,1,0.49451726599668316,0
