Fold,Model,Accuracy,Precision,Recall,F1,MCC,Balanced Acc,ROC AUC,PR AUC,Brier Score,Latency (s),Type
1,Logistic Regression,0.9945,1.0,0.989,0.9944695827048768,0.9890598399305285,0.9944999999999999,1.0,1.0,0.003923561498413697,0.02112412452697754,Measured
1,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3e-05,0.10574102401733398,Measured
1,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2738676105072955e-06,0.037242889404296875,Measured
1,Isolation Forest,0.905,0.8403361344537815,1.0,0.91324200913242,0.8250286473253902,0.905,1.0,1.0,0.030520754219750038,0.0664370059967041,Measured
1,OCSVM,0.9555,0.9182736455463728,1.0,0.9573958831977023,0.9146295922900951,0.9555,1.0,1.0,0.1854724087556983,0.14126896858215332,Measured
1,LOF,0.89,0.819672131147541,1.0,0.9009009009009009,0.7995900589021114,0.89,0.9815685,0.9283623386023416,0.5008673469369033,0.01810598373413086,Measured
1,Z-Score,0.9995,0.999000999000999,1.0,0.9995002498750625,0.9990004995003746,0.9995,1.0,1.0,0.01402875175810824,0.00027298927307128906,Measured
1,Stat Threshold,0.5,0.5,1.0,0.6666666666666666,0.0,0.5,0.5,0.5,,0.00013709068298339844,Measured
2,Logistic Regression,0.999,0.999,0.999,0.999,0.998,0.999,0.9993704999999999,0.9987021235096047,0.0014540556528307108,0.017319917678833008,Measured
2,Random Forest,0.9995,0.999000999000999,1.0,0.9995002498750625,0.9990004995003746,0.9995,1.0,1.0,0.0001647,0.10237312316894531,Measured
2,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7718788285492337e-06,0.031228065490722656,Measured
2,Isolation Forest,0.905,0.8403361344537815,1.0,0.91324200913242,0.8250286473253902,0.905,0.9989955000000001,0.9989556360163344,0.026644078257025958,0.06510305404663086,Measured
2,OCSVM,0.7915,0.7057163020465773,1.0,0.8274720728175424,0.6414301240923711,0.7915,1.0,1.0,0.18273167573429228,0.13704299926757812,Measured
2,LOF,0.9045,0.8396305625524769,1.0,0.9128251939753537,0.824172994646727,0.9045000000000001,0.9818279999999999,0.9285574992838974,0.5004999999982741,0.01677417755126953,Measured
2,Z-Score,0.9915,0.983284169124877,1.0,0.991571641051066,0.9831420742953453,0.9915,0.999,0.998003992015968,0.021836944872622808,0.0002720355987548828,Measured
2,Stat Threshold,0.5,0.5,1.0,0.6666666666666666,0.0,0.5,0.5,0.5,,0.0001480579376220703,Measured
3,Logistic Regression,0.9835,1.0,0.967,0.9832231825114387,0.9675269619352403,0.9835,1.0,1.0,0.010161885877745651,0.016843080520629883,Measured
3,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0200000000000006e-05,0.1043391227722168,Measured
3,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1940363719986635e-06,0.03142189979553223,Measured
3,Isolation Forest,0.892,0.8223684210526315,1.0,0.9025270758122743,0.8029550685469662,0.892,1.0,1.0,0.030127738860188925,0.06553316116333008,Measured
3,OCSVM,0.8035,0.7178750897343862,1.0,0.8357709987463435,0.6601137625203496,0.8035,1.0,1.0,0.1856378053134026,0.1381969451904297,Measured
3,LOF,0.901,0.8347245409015025,1.0,0.9099181073703366,0.8181986811300817,0.901,0.9804670000000001,0.925233300200298,0.5017847222212931,0.01656508445739746,Measured
3,Z-Score,0.9995,0.999000999000999,1.0,0.9995002498750625,0.9990004995003746,0.9995,1.0,1.0,0.014667323093534562,0.0002720355987548828,Measured
3,Stat Threshold,0.5,0.5,1.0,0.6666666666666666,0.0,0.5,0.5,0.5,,0.0001380443572998047,Measured
4,Logistic Regression,0.984,1.0,0.968,0.983739837398374,0.9684959969581862,0.984,1.0,1.0,0.00936473363326471,0.016649961471557617,Measured
4,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4300000000000007e-05,0.10395383834838867,Measured
4,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.546568218051107e-07,0.03142714500427246,Measured
4,Isolation Forest,0.9,0.8333333333333334,1.0,0.9090909090909091,0.816496580927726,0.9,0.999992,0.9999889738875825,0.02993804338815901,0.06511878967285156,Measured
4,OCSVM,0.793,0.7072135785007072,1.0,0.8285004142502072,0.6437601704061959,0.7929999999999999,1.0,1.0,0.18884161297465424,0.1374509334564209,Measured
4,LOF,0.902,0.8361204013377926,1.0,0.9107468123861566,0.8199029227143816,0.902,0.9918199999999999,0.9625223231889394,0.5004999999966163,0.016180992126464844,Measured
4,Z-Score,0.9985,0.9970089730807578,1.0,0.9985022466300549,0.9970044865302841,0.9984999999999999,0.9994945000000001,0.9989899668200077,0.015218406262094846,0.0002849102020263672,Measured
4,Stat Threshold,0.5,0.5,1.0,0.6666666666666666,0.0,0.5,0.5,0.5,,0.0001399517059326172,Measured
5,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013134243154163973,0.026816129684448242,Measured
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9049999999999998e-05,0.11438608169555664,Measured
5,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6549411674968724e-07,0.025804996490478516,Measured
5,Isolation Forest,0.8905,0.8203445447087777,1.0,0.9013068949977467,0.8004305650195745,0.8905000000000001,1.0,1.0,0.03246680275392352,0.06656599044799805,Measured
5,OCSVM,0.802,0.7163323782234957,1.0,0.8347245409015025,0.657772571978333,0.802,1.0,1.0,0.1854285194757077,0.14023518562316895,Measured
5,LOF,0.902,0.8361204013377926,1.0,0.9107468123861566,0.8199029227143816,0.902,0.9909410000000001,0.9588351558745739,0.5008828124976344,0.016932010650634766,Measured
5,Z-Score,0.999,0.998003992015968,1.0,0.999000999000999,0.998001996005988,0.999,0.9994949999999999,0.998990984938781,0.014841852646340505,0.0002918243408203125,Measured
5,Stat Threshold,0.5,0.5,1.0,0.6666666666666666,0.0,0.5,0.5,0.5,,0.00015497207641601562,Measured
